V_{TAS},\alpha,\theta,q
0.0,0.0,0.0,0.0
8.501013542739052e-05,6.878509487544202e-05,5.031971936530844e-05,0.0009596291964989122
0.00011839869344035584,0.00020187596444890625,0.00018171335689933004,0.0016134311827719523
6.411058525497423e-05,0.0003619586855261213,0.00036177304448938816,0.0019306436433841902
-0.00010081070323089854,0.0005149879849425484,0.0005570263869469045,0.0019235182384120231
-0.00038360449580146847,0.0006345368920505827,0.0007376880616495651,0.0016525870700608216
-0.0007771315311430778,0.000704739920393165,0.0008818419989868791,0.0012102723804999352
-0.0012642206571158957,0.0007204308347348713,0.0009772330580970386,0.0006923032160069503
-0.0018226928249800314,0.0006847408338513547,0.0010202960423657571,0.00017382969264178764
-0.0024291234843700346,0.0006056421414281141,0.0010135097795311195,-0.00029952918515954534
-0.0030607946324525126,0.0004929273958022117,0.0009625804096019368,-0.0007073105127304923
-0.0036963648476960056,0.0003563177080017542,0.0008744046950541896,-0.0010444617725243934
-0.004316025935820306,0.00020460795844144653,0.0007559774140968583,-0.0013129882862572772
-0.004901614695495328,4.5422223750592815e-05,0.0006139458286750537,-0.0015173930630818597
-0.005436789810870786,-0.00011479379344519903,0.0004544572193100612,-0.001663075729721823
-0.005907210723847322,-0.0002707285493249307,0.0002830891108087336,-0.0017560246851970798
-0.0063006539791515956,-0.0004181583993994364,0.00010479188752776342,-0.0018027934202182094
-0.0066070594479870435,-0.0005539106753749536,-7.617129516337742e-05,-0.0018106095066550865
-0.006818522321095626,-0.000675860050796305,-0.0002563094063919177,-0.0017877876410835783
-0.006929206969325818,-0.0007829777213876979,-0.00043304071826935403,-0.0017442841982799806
-0.006935090042121253,-0.0008753912759832412,-0.0006048615983800435,-0.0016915866502157362
-0.006833429821654595,-0.00095431778949558,-0.0007714271467741494,-0.0016409051046301513
-0.006621993098628606,-0.0010217001116310115,-0.0009333551377793528,-0.0015995637243609222
-0.0062983215176327404,-0.0010795108787257151,-0.0010916459013621646,-0.0015674091040793266
-0.005859472655702351,-0.0011289632333017986,-0.0012468685708755406,-0.0015362506874956202
-0.00530248434758732,-0.0011700576542135871,-0.0013985206090320573,-0.0014938929444992502
-0.0046253381042400624,-0.0012017666913552811,-0.0015449546923384427,-0.0014308052695603695
-0.0038278318946467433,-0.0012227601744162918,-0.0016839291150356575,-0.001345144214009616
-0.0029118503993567114,-0.0012322287052769104,-0.0018134377195855866,-0.0012430741221308949
-0.001880965912530106,-0.0012303587627866765,-0.0019323450958725165,-0.0011349866582304599
-0.0007397086347781877,-0.0012183140000944798,-0.0020405677582102212,-0.0010308309681266363
0.0005070930766068683,-0.0011978904392244704,-0.0021388676801016304,-0.0009373301124476967
0.0018547117593965456,-0.0011711128802470662,-0.0022284954935902243,-0.0008576564545040432
0.0032986909912003366,-0.001139944790748363,-0.0023108833191155032,-0.0007924977467038039
0.004834903535933559,-0.0011061426299960003,-0.002387459177260359,-0.0007412527533054704
0.006459580412491914,-0.0010712073673457287,-0.002459559925568786,-0.0007027823869690616
0.008169326221549547,-0.0010363876096938572,-0.0025284006640053096,-0.0006758566547972367
0.009961100912818797,-0.0010027298889792662,-0.0025950911332059527,-0.0006597191008340782
0.011832170780536225,-0.0009711995438160324,-0.0026607240602733776,-0.0006549523488608749
0.013780099883696162,-0.0009428699281242154,-0.0027265499305785226,-0.0006642065558841046
0.015802912174878243,-0.0009190928322730836,-0.0027941767378558587,-0.0006917650551191944
0.017899513580820058,-0.0009014759301705425,-0.0028656294641912473,-0.0007410918838631721
0.020070266767758915,-0.000891516014858421,-0.0029430787399853174,-0.0008109331792430052
0.02231735723371605,-0.0008899424164055279,-0.00302820511475613,-0.0008924970904655591
0.0246445368175566,-0.000896110033224958,-0.0031214611664521124,-0.0009706380692627593
0.02705615243762907,-0.0009078807743581163,-0.0032216872106022028,-0.0010295006419638807
0.029555875146828357,-0.0009221772347381814,-0.003326394156865871,-0.0010594013431010631
0.03214580956597693,-0.0009359335012578803,-0.0034325969561560324,-0.0010601923045844143
0.03482641918459889,-0.0009468718542731067,-0.0035376905750920205,-0.0010387007307921072
0.03759706761036433,-0.0009536950319667934,-0.0036398599497938985,-0.0010028737467638518
0.04045635950736538,-0.000955917560315753,-0.0037380330125042814,-0.0009600464369414508
0.04340133422042229,-0.0009543926744794151,-0.0038322456632708464,-0.0009283699910880302
0.046425351689538666,-0.0009540917395721688,-0.003926022794907663,-0.0009657077428078851
0.04951642897256977,-0.0009700754785637688,-0.004032198797790535,-0.0012063848910633971
0.052660112786423574,-0.0010352657357658576,-0.00418168290986234,-0.0018769391814539957
0.05585144310401609,-0.0012053093127852197,-0.00443122314835225,-0.003254682682886857
0.059116581586162564,-0.0015543036751216903,-0.004863565946639698,-0.005559320776341815
0.06253683684864154,-0.0021586123949253527,-0.005575137519265127,-0.00882508745651896
0.06626220035104996,-0.0030739269493825373,-0.006653538883841203,-0.012840503842458073
0.07050517855808512,-0.004316986334549003,-0.008154973358308773,-0.017209904341512733
0.07551752328471084,-0.005861440579482385,-0.01009284146522445,-0.02150107089765905
0.08156219773844328,-0.0076482808403012,-0.012441485482419353,-0.025382869820279565
0.08889261908616883,-0.00960299502212324,-0.01514988443845218,-0.02867983763659812
0.09774327804190616,-0.011650211141931037,-0.018156263684143872,-0.03134179951175834
0.10832815165958047,-0.013721181680882828,-0.021397367003130646,-0.033377949197071065
0.1208409094613423,-0.015755090273759376,-0.024811583001237352,-0.03480647258344438
0.13545329110901685,-0.01769788197245468,-0.028338789989390694,-0.03563932111487528
