time,Dadc1_tas,vane_AoA,Ahrs1_Pitch,Ahrs1_bPitchRate
3635.0,0.0,0.0,0.0,0.0690613187125951
3635.1,-0.03222706021576016,0.004065852219589741,0.0071798439346623345,0.07370687654621545
3635.2,-0.07175462366491558,0.008419884804819042,0.014697865388641304,0.07648273226415063
3635.3,-0.11807716108157251,0.012865741109535901,0.02238862065585414,0.07773347251104137
3635.3999999999996,-0.17033225492944837,0.017231296241236316,0.030122449604918645,0.07777604865860632
3635.5,-0.22766221930640995,0.021379892908346555,0.037798829335609206,0.07688195259936588
3635.6,-0.28942752408116235,0.025212866011873235,0.04534009104294444,0.07528921116654384
3635.7,-0.3552179313429349,0.028666746164411172,0.052688354452056566,0.07321425444235305
3635.8,-0.42479901088039185,0.03170484977491229,0.059804537663353134,0.0708527336465052
3635.8999999999996,-0.4981444139301061,0.034306763674707766,0.06666722394773218,0.06837219336211094
3636.0,-0.575523573504654,0.03646392396727031,0.07327052979557828,0.06590438141361935
3636.1,-0.6574816493911015,0.03818479311073138,0.0796212792368584,0.06354293118722082
3636.2,-0.7445871903197201,0.039502400608620994,0.08573597108890847,0.0613476794571505
3636.3,-0.8370846628709074,0.04047281481047112,0.091637265434594,0.059353244302881504
3636.3999999999996,-0.9348297869749871,0.04116158859981773,0.09735006969452893,0.05757768220055577
3636.5,-1.0376970972623667,0.04162729675404054,0.10289852414873367,0.05602817626727563
3636.6,-1.146137073223386,0.04191299126818849,0.10830489591430854,0.054703851665618156
3636.7,-1.2613401565770062,0.04204764573024302,0.11358979447707472,0.053597432030716555
3636.8,-1.3847922966904491,0.04205229006835369,0.11877253666003884,0.052696361373872985
3636.8999999999996,-1.517504418662952,0.041946009268829625,0.12387127618836283,0.05198285132951407
3637.0,-1.6594063352148964,0.04175101676411346,0.1289031337247463,0.05143303463652839
3637.1,-1.8092594896915415,0.041496316929200756,0.13388452219884364,0.05101720113854529
3637.2,-1.9651394228455388,0.04121703479049314,0.13883089981328825,0.050703264516422084
3637.3,-2.1251737113756803,0.04094793525186349,0.14375513008760485,0.05046229352535727
3637.3999999999996,-2.2881165610571514,0.040714501537783165,0.14866547200210917,0.05027222018467914
3637.5,-2.4536218927316185,0.04052796581485487,0.15356523767169278,0.05011762206326042
3637.6,-2.6222274973502095,0.04038848642363195,0.15845451470113225,0.04998672158706824
3637.7,-2.794979791250057,0.04029375164507325,0.163332289164141,0.049868037590474944
3637.8,-2.972808787778135,0.04024500609351494,0.1681973658127421,0.049748659616436534
3637.8999999999996,-3.1560489981694246,0.04024455165770816,0.17304794581162491,0.049615034825355474
3638.0,-3.34434711578173,0.04028758305512256,0.1778811329085684,0.04945571127917023
3638.1,-3.536868455960118,0.04035921030115079,0.18269345490824554,0.04926423846387878
3638.2,-3.7327243516742357,0.04044370017346542,0.18748218425018662,0.0490402218741892
3638.3,-3.9315786342562973,0.0405383113000307,0.19224629455186248,0.048787013934377975
3638.3999999999996,-4.13404160794137,0.040656163039952946,0.196985611512363,0.04850650535039538
3638.5,-4.34139610045753,0.04081375279517338,0.20169828176055885,0.04819526892067384
3638.6,-4.554779678346904,0.041016168399034256,0.20637904629877693,0.04784631987385896
3638.7,-4.774414543294824,0.041253980257936036,0.21102056535160696,0.04745482811686437
3638.8,-4.999433053511453,0.04151069220861304,0.21561671230497376,0.04702181657737479
3638.8999999999996,-5.228405300713078,0.04176999375278015,0.22016443787377257,0.04655236312789457
3639.0,-5.460092892432542,0.042017471793768045,0.22466270004653727,0.04605112174426399
3639.1,-5.693814910657068,0.0422403859089226,0.2291102989691137,0.045520977145758576
3639.2,-5.929256116022017,0.042430111887392825,0.2335050587010169,0.0449664550360667
3639.3,-6.166025553546987,0.04258651112479428,0.2378446017732911,0.044396981972269094
3639.3999999999996,-6.403459729833173,0.04271991844645509,0.24212734604077024,0.04382429719298462
3639.5,-6.640867823320889,0.04284787009025307,0.24635260166325854,0.04325525836378152
3639.6,-6.877919600020988,0.04298745383032958,0.25051971699926845,0.04268742374194332
3639.7,-7.114828298507305,0.04314716086364502,0.2546272546398702,0.0421122074848791
3639.8,-7.352195537960199,0.04332288994646491,0.25867306033947024,0.04152280533511901
3639.8999999999996,-7.5904642288704025,0.04350099029763075,0.2626553926945405,0.040919710385736704
3640.0,-7.829169327853947,0.04366698424718143,0.2665742401879285,0.04030913701268126
3640.1,-8.066666828603246,0.04381449063102308,0.270431214617258,0.039696597080125434
3640.2,-8.301015444695963,0.04394894675826495,0.2742278117533933,0.039082023619200025
3640.3,-8.531706010923784,0.04408451087491334,0.27796379521888037,0.03846015429383219
3640.3999999999996,-8.760877245146034,0.044236261390902545,0.2816371472409237,0.037824907579656786
3640.5,-8.992894522819512,0.04441242364390743,0.285245100427989,0.037174467954345404
3640.6,-9.2325247348885,0.044611978792316175,0.2887852238425678,0.03651408655327793
3640.7,-9.482977230181163,0.04482943413739639,0.2922563111706562,0.03585480624159044
3640.8,-9.744970120619001,0.04506287965807741,0.2956591153007847,0.03520878815026465
3640.8999999999996,-10.017114801848962,0.04531898137784205,0.29899662672626187,0.03458478003427068
3641.0,-10.297053817361672,0.04561109129558642,0.30227335601407834,0.033986946343449655
3641.1,-10.582491359628506,0.04595170949587315,0.3054938605025571,0.03341616312326289
3641.2,-10.871582247958955,0.04634398461471933,0.3086615700793955,0.03287065085533329
3641.3,-11.16271033480325,0.04677756457974469,0.31177847612494786,0.03234520407901195
3641.3999999999996,-11.454233508293129,0.04723227004612229,0.3148451680520395,0.03183044753405286
