V_{TAS} - V_0,\alpha,\theta,q
0.0,0.0,0.0,0.00021001023387016708
-7.824509259305609e-05,-3.265064559642078e-05,-2.0257706641184274e-05,-0.0005951865623393547
-0.00015553544208590217,-0.00012773838904381676,-0.00011380569208440983,-0.0012441884889832788
-0.00020764610969766894,-0.00025467955448235847,-0.00025853172112304257,-0.0015783019592075307
-0.00017984897806842934,-0.0003581732372997444,-0.0004062574391032148,-0.0012203022794241123
1.4447158192056208e-05,-0.00033844807530890547,-0.0004589500717797008,0.0004406907238151624
0.00047367841074101325,-4.359120511878694e-05,-0.00025202480170510616,0.004077796951197712
0.0012613309893311738,0.0007087779126964086,0.00043531698475582657,0.01007202205833008
0.002347856392700223,0.0020776261392141913,0.001832522178785196,0.01817161380570788
0.003572896232018334,0.00413567045481824,0.004108654259248408,0.02744793653694959
0.004649410080616461,0.006834802554760308,0.007318900179960978,0.03663680158317811
0.005201274915483281,0.010020132768554683,0.011395973635710429,0.04463250430442499
0.004807644278349737,0.013479857956995899,0.016184551697635552,0.05080816323929415
0.0030350401980490287,0.01700024156362229,0.021492599435276455,0.05503633679910093
-0.0005446986396473399,0.020402395270812154,0.027133459246941254,0.057514592513061485
-0.00634357859948549,0.02355571745604897,0.032947960249129556,0.058566060581272276
-0.014747898445637144,0.026375454542190688,0.03880990438664207,0.05851405823945987
-0.026108778448308945,0.028814182641434878,0.044623325025288894,0.05763797249702365
-0.04073433478195994,0.03085325677730563,0.05031789894529927,0.056173039239687
-0.058885043887677596,0.03249599846732021,0.05584501242864998,0.05431950864284079
-0.08077257265620891,0.03376224248331933,0.06117453867324304,0.05224706269905619
-0.10656136679761959,0.03468360926869607,0.06629180535527958,0.050094971004710616
-0.13637202534346063,0.03529930490057218,0.07119454951579246,0.04797236983939378
-0.1702856702785881,0.035652582169059664,0.07589002187466808,0.04596110881518678
-0.2083488480863239,0.035788007485649746,0.08039248736747351,0.044120473887274636
-0.25057876181278416,0.03574947218851209,0.08472119600441375,0.04249145109934023
-0.29696870105738304,0.035578705380512,0.08889868361750856,0.041098946098535434
-0.3474934738953331,0.03531403872987342,0.09294919347079193,0.039952153834917424
-0.40211457965890673,0.03498930147095751,0.09689709539725117,0.03904440618102846
-0.4607848353818829,0.034632883761095926,0.10076533007430664,0.03835408932949458
-0.5234521730697576,0.0342671421305212,0.10457405851137402,0.03784803705300678
-0.5900624061299701,0.033908386145628626,0.10833980313156477,0.03748795197823576
-0.6605609922756058,0.03356759332380872,0.11207533358133256,0.03723843488776374
-0.7348941294603898,0.03325170719255376,0.11579029519778469,0.037073083602202864
-0.813009651127588,0.03296504502214022,0.11949220548525277,0.036975380173783975
-0.8948579678002454,0.032710289006571525,0.1231872673107744,0.03693455536502335
-0.9803929505283357,0.032488853119907374,0.12688066079590135,0.036940086305382085
-1.0695725167367924,0.03230081879224931,0.13057637817221113,0.03697849809162365
-1.1623587968965086,0.03214479502301652,0.13427690999077496,0.03703350698120089
-1.2587179196534015,0.03201796089233662,0.13798306951985664,0.03708834235808761
-1.3586195224955846,0.03191636816682991,0.1416940893600675,0.037128628476919875
-1.4620361094325625,0.03183544665222981,0.14540798227956972,0.0371446275821189
-1.5689423973512593,0.03177057172359129,0.14912205704610554,0.03713196253579186
-1.6793147872887513,0.0317175100905655,0.15283340891903452,0.03709036918370196
-1.7931309977491647,0.03167260414701831,0.15653920886544398,0.03702115524671232
-1.9103697614399526,0.031632708748377064,0.1602367434217426,0.03692508719612608
-2.0310104688352646,0.031595038430484286,0.16392332173729124,0.036801926110302495
-2.1550327497262503,0.03155707912713009,0.16759620996739602,0.03665124405441787
