V_{TAS} - V_0,\alpha,\theta,q
0.0,0.0,0.0,0.000815139328057062
3.778898395541358e-05,0.00010162627260451525,0.00010131800722814485,0.0011951964484477142
6.870593628843574e-05,0.00022140628405591155,0.00023590171408065816,0.0014812701791166423
7.884925244101757e-05,0.0003488659422507127,0.00039466456181304696,0.0016802170723406878
5.309963445437533e-05,0.0004755544985286652,0.0005693621476065266,0.0018017342125355939
-2.385192778025639e-05,0.0005949727662086057,0.0007527898358405968,0.0018566368568141783
-0.00016668825556422583,0.0007023775400645367,0.0009388290500838508,0.0018557364423784884
-0.0003886963152103147,0.0007946202718653535,0.0011224691036364417,0.0018107711645247112
-0.0007008194892456402,0.0008703185969448019,0.0013000959399962566,0.0017390779626089065
-0.0011104071892906527,0.0009307226497217278,0.0014704645226588256,0.0016725032280852298
-0.0016198660201454133,0.0009814685752253746,0.0016366880322091373,0.0016681278655474685
-0.0022258677681486153,0.0010349488809974694,0.0018091659941620202,0.0018151541069134623
-0.0029200902268904858,0.0011124266175426567,0.002008721112944079,0.0022310707134841645
-0.0036924672883898698,0.001244558592286223,0.0022685870378969164,0.003041883246491568
-0.0045374773570378175,0.001468928853662338,0.0026335748480444668,0.004345878751269216
-0.00546286270872556,0.00182385099562317,0.0031551080150277674,0.006169664926343448
-0.0064984660324457506,0.0023393673924782766,0.0038822878776332004,0.008437116234340352
-0.007701784266049976,0.003028523013950518,0.004851502224942914,0.01097475752369445
-0.00915782525280073,0.003882944141353712,0.006078784439204732,0.013560254020635378
-0.010973668359100576,0.004875138503334866,0.007558404824158079,0.015992756041463697
-0.013270659572739702,0.005966500770291486,0.009268082897921238,0.01814869887498164
-0.016177638886231856,0.007117161914263568,0.011177868382673201,0.0199968504743243
-0.01982706682379172,0.00829340255796896,0.01325835768048524,0.021572267477480103
-0.024353720428541302,0.009470344308861784,0.015485112310239276,0.022931409341123206
-0.029894290128473153,0.010630477223404655,0.017838809976245863,0.024115754633529014
-0.03658645913045275,0.011760339141035036,0.020302844711385323,0.025137778610291414
-0.04456717694667657,0.012847503131300826,0.022860528893923416,0.02598505729878713
-0.0539705034339468,0.013878816061188728,0.025493140959370223,0.026631312900075893
-0.064925241492086,0.014839922328556856,0.02817912173510736,0.027047919587312227
-0.07755231665878948,0.01571587779348267,0.030894386330653202,0.02721474529830209
-0.09196198184534805,0.016492634544489085,0.03361366326528123,0.027129574929105678
-0.10825117005245143,0.017159047033962673,0.0363126279479619,0.026814228453406187
-0.12650135132739554,0.01770895273325874,0.03897043435081143,0.026316429295279394
-0.14677715101660138,0.018142953466138773,0.041572243980800935,0.025708069996129002
-0.16912604729267003,0.01846959703911946,0.04411140154220165,0.02507961719634027
-0.19357968332305825,0.01870549555509519,0.04659074569142748,0.024527699829449533
-0.2201572243622466,0.018873690824361834,0.04902223114356228,0.024133722636309658
-0.2488703368975536,0.018999890628732977,0.05142414840144526,0.023939017414312022
-0.2797281950238445,0.019107348034984203,0.053816249083613286,0.02393066155614463
-0.3127406435772666,0.01921237523757298,0.05621452113703246,0.024049763838117424
-0.3479188350042295,0.01932245924958848,0.058627851244560276,0.024218741872135914
