Ahrs1_Roll,Ahrs1_bRollRate,Ahrs1_bYawRate
-0.0449582662553703,-0.009741089784813186,-0.0033697093579489646
-0.045927917926172325,-0.00971559984024975,-0.0031917715884123917
-0.04688675217260206,-0.009614491567670682,-0.0030715069308630827
-0.04782636827551984,-0.009426689204954881,-0.0030119327997139202
-0.04873999232162907,-0.009184987178066666,-0.00299662538628599
-0.04962635871973974,-0.008952516780828522,-0.002998374945376182
-0.05049027480706173,-0.008787122052843118,-0.0029957464526539274
-0.05133971787462715,-0.008710316493125377,-0.002985198439197191
-0.05218183627478891,-0.008700452017597544,-0.0029802660359188053
-0.05302031661792195,-0.008709524587186615,-0.0030007506486868043
-0.05385481119101955,-0.00868672825309,-0.0030619161061800795
-0.054681483534127454,-0.008592853431894793,-0.003170613468166103
-0.05549375163148588,-0.008403829495377388,-0.003328013257156813
-0.05628339497395959,-0.008112544197181982,-0.003534702448632815
-0.05704246417649348,-0.00773328842844913,-0.003793843278535095
-0.05776555127398272,-0.007302132067468743,-0.004110127174757833
-0.058451396142096365,-0.006868019626766568,-0.00448547628060202
-0.05910340589721115,-0.006480600376707661,-0.00491460129134921
-0.05972946658330569,-0.006183210298300461,-0.005383619285946362
-0.0603413776008871,-0.00601042322604687,-0.005872561377011996
-0.06095365664474838,-0.005984079087820545,-0.006359793968228972
-0.06158138390962551,-0.006106286755447737,-0.006826315299283042
-0.062237560227223154,-0.006354389768730434,-0.007258904434275245
-0.062930983876965,-0.006682968918178853,-0.007651034494253692
-0.06366517426712262,-0.007032498075883804,-0.008000686566427419
-0.06443815747890315,-0.0073414299453339596,-0.008306071406737645
-0.06524284600008713,-0.007559963695241384,-0.008562415439522528
-0.06606832322856769,-0.007663135588587213,-0.00876257686572471
-0.06690245789759602,-0.007658672358526992,-0.00890021351531428
-0.06773536404076826,-0.007586470337696896,-0.0089716078674763
-0.06856229186812605,-0.007508534728427329,-0.008974997357630115
-0.06938454593523155,-0.007486976997018735,-0.008909322226654316
-0.07020748374318475,-0.007549353964019658,-0.008773475447627162
-0.07103510541389177,-0.007649218126450132,-0.008565907278188057
-0.07186151811227474,-0.007638575414489448,-0.008285719273518398
-0.07266109437272046,-0.007273327430729902,-0.00793635311434815
-0.07338142870865651,-0.006269732079180935,-0.007529956354106855
-0.07394456346869839,-0.004409164154005518,-0.007089312646276057
-0.07425978528694963,-0.0016482692083834422,-0.006646000399375364
-0.07424504314828909,0.0018344397435155553,-0.006235339032282279
-0.07384769576130457,0.00569398306524762,-0.0058897070082656695
-0.07305489904254904,0.009543658254584439,-0.005632248658116208
-0.07189027876861863,0.013074918359549432,-0.005473305602482773
-0.07040102065449305,0.016116634176408164,-0.005410843911962663
-0.06864312722257275,0.018622804317296196,-0.0054330633937918005
-0.06667138747355521,0.020615869250504272,-0.005519786834526997
-0.0645362215707216,0.022129114626645446,-0.005641454036467663
-0.06228484327180107,0.023180910354366674,-0.005758260695103114
-0.059962289640749046,0.023787081674257284,-0.005823586877292551
-0.05760965447962948,0.02399228071085745,-0.0057936673825240296
-0.055259862439368396,0.023889877057446423,-0.00564017814941198
