time,Ahrs1_Roll,Ahrs1_bRollRate,Ahrs1_bYawRate
3766.5,0.00448788997290658,0.0014535940567722645,0.0005745047591605972
3766.6,0.004630601317237357,0.0013946411745697832,0.0007776528004293359
3766.7,0.00477778416817076,0.00147678499800637,0.000752582334051721
3766.8,0.004944925123367206,0.0017804048484894221,0.0002204461979938562
3766.8999999999996,0.005151685057993753,0.0023862628839655506,-0.0012194628348532726
3767.0,0.005417766628817857,0.0033200522296240585,-0.00402467431557443
3767.1,0.0057549343254410645,0.004489625257844672,-0.008583963726717582
3767.2,0.006156739044669978,0.0056531795321170366,-0.015087078598113523
3767.3,0.006588655367073804,0.0064437346750772714,-0.023461532613128878
3767.3999999999996,0.006981266372100567,0.006438276138071453,-0.033401943234696405
3767.5,0.007228382169012474,0.005234371584269049,-0.04445354665131703
3767.6,0.007190653734863439,0.002502057384611774,-0.05609062632369926
3767.7,0.0067031722702746545,-0.0019984973795789023,-0.06775297932476719
3767.8,0.005584289530232103,-0.008424371550936451,-0.07883477702294314
3767.8999999999996,0.0036436827571004163,-0.016866394423413276,-0.08864089025289076
3768.0,0.0006894414413240493,-0.02735816822221364,-0.0963366711105774
3768.1,-0.0034645418932995084,-0.03986243512301634,-0.10092274416102003
3768.2,-0.008988525007398492,-0.054223750826327716,-0.10127139707714237
3768.3,-0.016020989303470175,-0.0700858331095784,-0.0962631331248501
3768.3999999999996,-0.024644006005129015,-0.08679599739400787,-0.08503176222979068
3768.5,-0.03485173800129816,-0.10335403992426466,-0.06724819721963649
3768.6,-0.04652142387687185,-0.11846942068291184,-0.04330672082378702
3768.7,-0.05939934425026575,-0.13073877053742486,-0.014309178514764572
3768.8,-0.0731087832725789,-0.13888013850266462,0.018141345668258316
3768.8999999999996,-0.08717760809153088,-0.14192995142148548,0.05223353011400337
3769.0,-0.10107589205613286,-0.13933970845768345,0.08621109679559767
3769.1,-0.11425180088650828,-0.13096089306455508,0.11852444732809504
3769.2,-0.12615857219299614,-0.1169499735877929,0.1478421952733031
3769.3,-0.13627197522843418,-0.09765057875810215,0.17295843224442814
3769.3999999999996,-0.14410230703348673,-0.07350867600680668,0.19267997176632484
3769.5,-0.1492066206225967,-0.045054809699761,0.20577353211586813
3769.6,-0.15120515809032015,-0.012959935543048919,0.21100842838246095
3769.7,-0.14980488531551278,0.021858852116898277,0.20729963789373426
3769.8,-0.14483142102962843,0.05813754488399338,0.19393627887061174
