\beta,\phi,p,r
0.0,0.0,0.0,0.0
0.00018351019678392372,0.0005574448301465483,0.0008289477863283972,-0.0002028912183930268
0.000625182725302629,0.0019390556505674383,0.0013388149570958711,-0.0004092380375356324
0.0013203353625208666,0.0038107462363835723,0.0016267571975383988,-0.0006014667944939517
0.002242661705119504,0.005939537993207531,0.0017596330283243967,-0.0007660842454458932
0.003350134186887144,0.008162757196939596,0.0017845198254491483,-0.0008932579496768318
0.00459013791851807,0.010367871075221118,0.0017355098111544592,-0.0009765249320375527
0.005904027741458826,0.012479210292118618,0.0016381025663149919,-0.0010125358583547418
0.007231186241455682,0.014449105946149923,0.001511980648635338,-0.0010007893024707737
0.008512598870655131,0.016251763866264573,0.0013726899428728454,-0.0009433331228655419
0.009693927124860413,0.017878768566512177,0.0012326295215677277,-0.0008444201575027472
0.010728041756595339,0.019335564896176643,0.001101673775392102,-0.0007101137807887546
0.011576974826345746,0.02063859943873511,0.0009876281697285218,-0.000547850278184646
0.012213263727329369,0.021812953633771857,0.0008965520216989837,-0.00036597837518871575
0.012620688834514072,0.022890253757593872,0.0008328584444125732,-0.00017330405538327982
0.012794436032519138,0.023906542241150124,0.0007991608444469348,2.133794153922651e-05
0.012740729472557813,0.024899885382046984,0.000796056475860794,0.0002094820330277396
0.012475977797705085,0.02590782505039498,0.0008221384123233283,0.0003834023478294122
0.012025480511882077,0.026965055136204476,0.0008743344541747048,0.0005364458601828452
0.011421764824712851,0.028101657601981075,0.0009484260214242307,0.0006633039708739236
0.010702653410770627,0.029341998277297145,0.0010395605055535033,0.0007602012398963784
0.009909180910102847,0.030704203058178392,0.0011426593443685982,0.0008249920448723225
0.009083479441568227,0.03220005245515348,0.0012526716240727253,0.0008571643454862299
0.00826674713292429,0.033835080513911917,0.0013646462827702386,0.0008577558343780896
0.007497398110632103,0.035608683576139,0.0014737012778813867,0.0008291985084556222
0.006809464608665955,0.037514223075316815,0.0015750825845679151,0.000775116885479409
0.006231292348362514,0.03953932880390543,0.0016644294434583467,0.0007000992019555621
0.005784556451729744,0.04166661724610343,0.0017381366488785335,0.0006094452455866721
0.005483625748688004,0.04387480903375333,0.001793595403456802,0.0005088886715013167
0.005335299359150882,0.046140012860960186,0.0018292219489568877,0.0004043027514942127
0.005338915751722111,0.04843699337267893,0.001844458009633188,0.0003014181399533895
0.005486791145584498,0.050740641424274195,0.0018401838205763942,0.00020559629893080242
0.005764898435279527,0.053028456386974794,0.0018199842088510744,0.00012169524919653379
0.00615368603577442,0.0552851304529505,0.0017921633424982314,5.401680689034514e-05
0.0066290001894313,0.05750955272659559,0.0017713010465890886,6.242037272519637e-06
0.0071632153982642945,0.05972238804347571,0.0017772159122332078,-1.879378872440246e-05
0.0077267991946705595,0.06196986928233998,0.0018298183032948103,-1.9562589686624292e-05
0.008290464472421747,0.0643190817439835,0.0019411481996612077,3.614666922970567e-06
0.008827707853340042,0.06684374613635984,0.0021090765079383148,4.8325695442085086e-05
0.00931709979963835,0.06960561077662385,0.0023171367815725892,0.00011043704264912185
0.00974359970170528,0.0726398833342709,0.002540750529296242,0.0001849873794045297
0.010098592299474813,0.07595044005483437,0.002755728797359854,0.00026715625194327804
0.01037893135947231,0.07951465175902989,0.00294458198336009,0.00035290057699863904
0.010585568891318757,0.08329366462537513,0.0030989157917166617,0.00043915293039379136
0.010722274510353715,0.08724349211948536,0.003218557800132424,0.0005236965440402002
0.010794723131510826,0.09132370965613953,0.003308842456384681,0.0006048867880932264
0.010810000663855058,0.09550233972865312,0.0033774425136045352,0.0006813797744246335
0.010776390657989843,0.09975706435673513,0.0034317980626890495,0.0007519940022373898
0.01070321356905279,0.10407389652512433,0.003477657612799788,0.0008157399353596147
0.010600548698565037,0.10844472921003549,0.003518695688725509,0.0008719352459599807
0.010478823351408725,0.11286489083929623,0.0035568256299396287,0.0009202848182963417
0.010348361277938926,0.1173312890704339,0.0035927589765440194,0.000960874752733349
0.01021897666589107,0.12184123770755402,0.003626505378945003,0.000994113059687789
0.010099639463660895,0.12639180885923043,0.003657711959204957,0.0010206680377907503
0.009998197856884314,0.13097952343001235,0.0036858779437891473,0.0010414253380585917
0.00992114337774449,0.13560026310978615,0.003710501421306848,0.0010574546946933209
0.009873423054170877,0.14024932129083426,0.0037311448722954074,0.0010699677105800612
0.00985831975251446,0.14492143358671683,0.0037473125538047035,0.001080252971402563
0.009877427353002309,0.14961047228641355,0.003758018866214631,0.0010895857556893916
0.00993073741566031,0.1543084210850944,0.0037610976204597276,0.0010991264101558723
0.010016823759194337,0.1590035121936334,0.0037526496812508485,0.0011098427516615726
0.01013306524808266,0.16367809914227274,0.0037272938675233518,0.0011225017832390287
0.010275813813146498,0.1683075918793033,0.0036796411057692475,0.001137748883337453
0.010440439948554463,0.17286180420300246,0.003606510665465736,0.0011562259629640552
0.010621286713492935,0.17730884429896526,0.003508503152103862,0.001178625828188227
0.010811671797644846,0.18161989596586117,0.0033897238483490957,0.0012056103153372472
0.011004088199561297,0.18577250826772274,0.0032558429611691166,0.0012376290059095232
0.011190638952545611,0.18975111993354327,0.0031118961976212035,0.001274754856892733
0.011363603636732675,0.19354534302741702,0.0029610170779781086,0.0013166215462046813
0.011515990392061928,0.19714736006174668,0.0028042166126436446,0.0013624604665744078
0.011641971881868952,0.2005494855338862,0.0026407986833971732,0.0014111980535816658
0.01173715157303501,0.20374255848587433,0.0024692998640362582,0.0014615979248827264
0.011798621385623011,0.20671591310645504,0.0022890993846920726,0.0015124471656248516
0.011824797741815378,0.20945966071147679,0.0021023932561874343,0.0015627462904369356
0.011815109562818478,0.21196912359781817,0.0019154195027707725,0.0016118033949969392
0.01176972434918751,0.21424971286663716,0.001737806842808126,0.0016591475692870534
0.01168951625494391,0.21631977830639604,0.0015801231470529697,0.0017042956609991042
0.011576335287183302,0.21820989755234882,0.0014508990458475231,0.0017465256317132024
0.011433424103441727,0.21995885550273023,0.0013544942639707347,0.0017848144722199995
0.01126571478191777,0.22160789361381886,0.0012905185737871042,0.0018179856060533963
0.01107980657081918,0.223195222127185,0.0012547699117595975,0.001844969519822582
0.010883609368834325,0.22475233676528944,0.0012410349775658553,0.0018650284656445578
0.010685783639120417,0.22630265138223984,0.001242844634664011,0.0018778603170371624
0.010495138719400008,0.22786193691836815,0.0012545428218675432,0.001883586356083575
0.010320112588282417,0.229439594721411,0.0012715862223135477,0.0018826614795328805
0.010168418556066388,0.23103999744204362,0.0012904365598938833,0.0018757284909758688
0.010046934558980631,0.23266367439115468,0.0013084819950571103,0.001863414520479769
0.00996190869769031,0.23430851801991257,0.0013241434957606101,0.0018460702430267402
0.009919514851233617,0.23597114848558023,0.0013369643938804581,0.0018234989157020474
