time,vane_AoA,Ahrs1_Pitch,Ahrs1_bPitchRate
2645.0,0.0,0.0,-0.05192765850502797
2645.1,-8.985805455627742e-05,-0.005096196636831782,-0.05171088598274343
2645.2,-0.00017035820496627338,-0.010171361129755889,-0.05151844569535471
2645.3,-0.00024436133243463924,-0.015231809950086383,-0.05143832758512405
2645.3999999999996,-0.00033062549747367193,-0.020297785276262154,-0.05165043240647537
2645.5,-0.00045947846326562045,-0.025412557852356996,-0.05241661416579516
2645.6,-0.0006656760176481758,-0.030647225240626026,-0.053999961282764526
2645.7,-0.0009852994199532699,-0.036094236829984624,-0.05653370837046802
2645.8,-0.00145813474411825,-0.0418477645806683,-0.05991815180793457
2645.8999999999996,-0.0021291575885345,-0.04797813177781368,-0.06382721491265489
2646.0,-0.0030425489157412267,-0.05451361347110347,-0.067830541469715
2646.1,-0.004230071115417952,-0.06143886920128952,-0.0715485836584866
2646.2,-0.00570174807215498,-0.06870766373680011,-0.07474473860633674
2646.3,-0.0074440873593147935,-0.07625927162723894,-0.07732194816538254
2646.3999999999996,-0.009424469238124253,-0.0840294438468241,-0.07926112437161462
2646.5,-0.011597146716440722,-0.09195362411574631,-0.08056104390580168
2646.6,-0.013908194833596779,-0.09996604320268428,-0.08121445344453777
2646.7,-0.01629949247403276,-0.10799963643584513,-0.08121656246588543
2646.8,-0.018712393232938294,-0.11598860798257775,-0.08058052115121944
2646.8999999999996,-0.021090596938575748,-0.12387203525801156,-0.07933654626171767
2647.0,-0.02338035942744466,-0.1315947241815201,-0.07750701952074414
2647.1,-0.025527681470820004,-0.1391025569780502,-0.07507122931568952
2647.2,-0.027475697887244258,-0.14633444521640793,-0.07195165106556432
2647.3,-0.029165863342382907,-0.15321712562664105,-0.06805053811076187
2647.3999999999996,-0.030542675213588107,-0.1596681768464542,-0.06332783512219027
2647.5,-0.03155812231837199,-0.16560715458136843,-0.057861902367987904
2647.6,-0.03217279078923144,-0.17096849493473404,-0.051833539579723635
2647.7,-0.032353988257043206,-0.175707920191077,-0.04544434842861612
2647.8,-0.03207328056159343,-0.17979999739761943,-0.038847946117037964
2647.8999999999996,-0.03130617549690153,-0.18323243277734877,-0.03215543218946674
2648.0,-0.03003657759247417,-0.18600444625515655,-0.025498037545750883
2648.1,-0.028266474723865218,-0.1881315409265304,-0.019076220541185195
2648.2,-0.026026643090263646,-0.18965208343731318,-0.013143331845319666
2648.3,-0.023380953653409847,-0.1906289833405731,-0.00793561116271444
2648.3999999999996,-0.020420077365213143,-0.19114388679319336,-0.0036025636145178134
2648.5,-0.017248276403839056,-0.19128669263707532,-0.00017953351105783473
2648.6,-0.013970685965112386,-0.1911451755322331,0.0023939894966264357
2648.7,-0.01068484338155876,-0.1907979959173766,0.004231458480181064
2648.8,-0.007475022963117538,-0.19031187593805185,0.005455500400385666
2648.8999999999996,-0.004407011642952914,-0.18974205288427648,0.006169357855278946
2649.0,-0.0015241959109384797,-0.189134491157492,0.0064501571938947585
2649.1,0.0011512609393453243,-0.1885281065081208,0.006359175806307018
2649.2,0.003610007765421129,-0.1879556082818064,0.005955536643185301
2649.3,0.005843978588316455,-0.187443107310695,0.0053019603472137
2649.3999999999996,0.007839539570837111,-0.1870099062626808,0.004461881452516922
2649.5,0.009578393029108212,-0.18666919698665127,0.0034946243041108368
2649.6,0.011041628045219144,-0.18642908137258662,0.002453624934141923
2649.7,0.012211643486686,-0.18629312163790251,0.0013879405656599248
2649.8,0.013073414402246195,-0.1862602164289281,0.0003456212821796611
2649.8999999999996,0.013619728892646652,-0.1863241692030551,-0.0006227040341967144
2650.0,0.01385993373704711,-0.1864735158157728,-0.001463172739663968
2650.1,0.013825381053408876,-0.1866919747550835,-0.0021243128599195624
2650.2,0.013564821336243642,-0.1869595595088014,-0.0025671811451116284
2650.3,0.01313119054233572,-0.18725420320458405,-0.002772202761236968
2650.3999999999996,0.012570020063076094,-0.1875534241083609,-0.0027359912423845917
2650.5,0.011918244077903555,-0.18783507907396496,-0.002457955119372086
2650.6,0.01121165424698571,-0.18807632368084273,-0.0019227498811335668
2650.7,0.01049163333914494,-0.1882509830710146,-0.001088431536157996
2650.8,0.009803931815629432,-0.18832681397175005,0.00011043319855284875
2650.8999999999996,0.009190765171205326,-0.18826453813996147,0.0017414231881566831
2651.0,0.008684193873050361,-0.1880198921878798,0.0038419847944907736
2651.1,0.008306329537452929,-0.1875484547893361,0.006394497135384404
2651.2,0.00807359512024466,-0.18681131923681,0.009325837030579332
2651.3,0.008000020836212292,-0.1857791362284892,0.012530399730871122
2651.3999999999996,0.008099280383015488,-0.18443302991894037,0.015901708778180923
2651.5,0.008386129458818344,-0.18276213823970214,0.019364742793006724
2651.6,0.008874589517378633,-0.1807582467005769,0.02290677208115919
2651.7,0.009571223979997174,-0.17840907525086866,0.02658730611388728
2651.8,0.010468806665266452,-0.1756939021943572,0.030495587209192713
2651.8999999999996,0.011550276035968504,-0.1725861889041022,0.03465868848846576
2652.0,0.012805059703962757,-0.1690646267250971,0.03896163323256433
2652.1,0.014243248462286801,-0.16512776770560533,0.043148686592972364
2652.2,0.015889351413677793,-0.1608036618647349,0.04691083261395277
2652.3,0.01775710807625664,-0.15614899117756068,0.04999497077467426
2652.3999999999996,0.019826805765428307,-0.1512393725698296,0.052265848909824004
2652.5,0.02204208572033962,-0.14615681579505468,0.05370406433797462
2652.6,0.0243230973644947,-0.14097946998207156,0.05436945273818566
2652.7,0.026581470160542332,-0.13577542601548068,0.05436443796070866
2652.8,0.028728399253488534,-0.13060020144879647,0.05381133919920495
