\beta,\phi,p,r
0.0,0.00448788997290658,0.0014535940567722645,0.0005745047591605972
0.0003819318275666956,0.005334402294404279,0.01446080124228632,-0.004844759596606893
0.001323649539405974,0.0072121667957668785,0.02240323251654807,-0.010550954689446246
0.0028626626392682713,0.009702068052198578,0.02693382445401491,-0.016608570009691622
0.005051698117059379,0.012524338125175932,0.029208414499755236,-0.023276807421165488
0.007971721585905218,0.015493791383010998,0.02997066728354674,-0.030888179669346757
0.01172872609364092,0.018480747969797047,0.029593346872681007,-0.03968189316164594
0.01643509401842978,0.021376701223064443,0.028141174464720763,-0.04966896696787063
0.02218359480958567,0.024068577468171606,0.025479305010842092,-0.06059224404426371
0.02902409226746251,0.026425152615665887,0.021400245292664676,-0.07198003197353094
0.03694890374336943,0.028295273108071835,0.015726731933581237,-0.08324001623079033
0.04588690241762748,0.029514153261239857,0.008369226359405636,-0.09373849978330455
0.055702802885053665,0.029913178128495293,-0.0006598734172832306,-0.10283758861832476
0.06619709330139693,0.02932943633641693,-0.011263666413476606,-0.10988700621149365
0.0771027667836369,0.027612567692245134,-0.02329406902086113,-0.11418145542229591
0.08807700434184772,0.02462838460277381,-0.03657876017508986,-0.11490826626160996
0.09868959903039878,0.020261254449278888,-0.050914338642424284,-0.11112752741775574
0.1084149917281315,0.0144197955208795,-0.06600448944539597,-0.1018384466869284
0.11663927669691544,0.007051388958340439,-0.08134950804718521,-0.08616888954817035
0.12269319450991545,-0.0018318318904153974,-0.09613972863528557,-0.06366129751976703
0.12591359144645523,-0.012119956383531782,-0.10923584374837214,-0.034544396761692825
0.12572213950562305,-0.023577112041209235,-0.119289123504635,0.00014730350473318374
0.12170050365053589,-0.03583148519846636,-0.12497366564322426,0.038673855044524946
0.11364228195417535,-0.04839046927561032,-0.1252386436398208,0.07886500455643099
0.10157198145088635,-0.060677987866454536,-0.11948623752316787,0.11845525960143356
0.0857334355262837,-0.07208353064705003,-0.10762360460046545,0.1553608367940753
0.066559358297734,-0.0820099912463191,-0.0899915108249631,0.18781975084071456
0.04463730857036734,-0.08991017714566227,-0.06722087970083333,0.2143808893666739
0.020683787074305113,-0.09530851994076234,-0.0400933874201911,0.23379880090240823
-0.004470478125159419,-0.09781168628392908,-0.009465832408557487,0.24492817767494982
-0.02988962316259744,-0.09711562902564135,0.023726843866851244,0.24669550639907492
-0.054546499500356456,-0.0930160576538568,0.058411647354521166,0.2381832826115122
-0.07735248611625328,-0.08542627056566454,0.09329645126213813,0.21882419691091054
-0.0972112343346903,-0.07440224441456113,0.12681487452622223,0.18865692575478682
-0.11309533390577653,-0.060169386960599335,0.1571592618612981,0.14853389297619962
-0.12413189889176042,-0.04313961982526804,0.18244458128884128,0.10015114181831596
-0.12967505303285404,-0.023906610259245144,0.20096796688882446,0.04585544575771601
-0.12934881755603064,-0.003214837056446707,0.2114493412470107,-0.011671937719368836
-0.12305966256439128,0.0180897739787334,0.2131467254048664,-0.06968807227672212
-0.11099085969209202,0.039113477735492175,0.20583275750737481,-0.1255194474323218
-0.09359217338446711,0.05896176711968546,0.18970239858920482,-0.17657305105669852
-0.07157080762366914,0.07677732596202254,0.16529519762434747,-0.22031971477117054
-0.04587966089881281,0.09177312783740334,0.13348036141127848,-0.25434629315012597
-0.017691730636216346,0.1032674605621251,0.09550724701707879,-0.276535216941538
0.011651883580657846,0.1107256844074134,0.053079363603777914,-0.2853628547561049
0.040726472367218686,0.11380741886620188,0.008374028465054011,-0.2802267565807705
0.06813354985899299,0.11240955478488299,-0.03607230632811971,-0.26165526045353144
0.09261492734681266,0.10668977431331415,-0.07763649590490994,-0.23127351474922847
0.11314457113726098,0.09705760141000018,-0.11396576808902688,-0.19151285996718417
0.1289802333362534,0.08413115636338393,-0.1432816605265744,-0.14518728928940436
0.13967390260329496,0.06867107961411184,-0.16452024715554744,-0.09511334972813962
0.14505400628888981,0.05150965092416079,-0.17729410485639585,-0.04388395587049233
0.1451955216947313,0.03348992410208764,-0.1817461760964374,0.0062057405104820286
0.14038858317933312,0.015421018069511879,-0.17838692562412053,0.05315229740209968
0.13110841588466593,-0.0019521133733682167,-0.16797354990553773,0.09523134186204033
0.1179846129323704,-0.017969551060569435,-0.15144176709244098,0.13101307624408387
0.10176727336292792,-0.03207222546831243,-0.12986760101983952,0.15939894119402942
0.08328992150689751,-0.04381416465784091,-0.10442988099742803,0.17965010704759526
