\beta,\phi,p,r
0.0,-0.7360806898767416,-0.01789989508543219,-0.07260636717728843
-0.0006192755784017722,-0.7371501245917679,-0.004275338888212349,-0.07337107486157846
-0.0011310974624518283,-0.7370688400654961,0.0053382432467016265,-0.0746722521453301
-0.001483917797988911,-0.736177922663103,0.012075476009369037,-0.07632218926768582
-0.0016474357999760269,-0.7347173393365211,0.016890863347030993,-0.07814747225284069
-0.0016106100896148045,-0.7328245866017572,0.020939624740457893,-0.07996904126029526
-0.0013810981977228857,-0.7305008217565632,0.025814356986108105,-0.08159303895765709
-0.00098415892536095,-0.7275697669702885,0.033411101497146,-0.08282881585192782
-0.00045816152890072655,-0.7236746059622564,0.04530155101539374,-0.08354023564158139
0.00015506724318594596,-0.7183536581519328,0.06186629843347774,-0.08370661042084603
0.0008230781105442622,-0.7111893738723863,0.08182127912105094,-0.08344420262664516
0.0015328332317131738,-0.7019623091971136,0.10263729198481027,-0.08295563215870728
0.002292030563038708,-0.6907235557290727,0.12164786287167345,-0.08243177252170275
0.0031210445006800147,-0.6777529304331833,0.13707738640858586,-0.08197067554999707
0.004040578196685805,-0.6634451803684905,0.14839854844436487,-0.08155777470041266
0.005061459596901583,-0.6481957306978404,0.15603684582126176,-0.08110049485197793
0.006180019198141585,-0.6323323410536622,0.16082823659638562,-0.08048091946029162
0.007378694150778996,-0.6160971940005473,0.16359703692584865,-0.07959601147856676
0.008629557459609586,-0.5996589843401758,0.1649780413735284,-0.07837580804498435
0.009898561473236587,-0.5831328300016305,0.16541762950587657,-0.07678510519351592
0.011149266252880461,-0.5665959771802045,0.16523865843071545,-0.07481771932847195
0.01234569839006335,-0.5500971906998428,0.1646944016991676,-0.07248946206795291
0.013454444313556704,-0.5336622848628707,0.16399232845130127,-0.06983255792260214
0.014446237378526369,-0.5172984074908833,0.16329799749458673,-0.06689233780238742
0.01529727284901622,-0.5009983404556917,0.16273269407845464,-0.06372565839035572
0.015990331455607337,-0.48474499849749364,0.16237265157644915,-0.06039938918222394
0.01651561320260686,-0.46851578278355327,0.16225299103666144,-0.056987401512489974
0.016871109712514595,-0.45228628140868343,0.16237672078202495,-0.05356579907956983
0.017062413714990017,-0.43603287954500314,0.1627271259457529,-0.05020742825796432
0.01710200206101179,-0.4197341024306681,0.16327997284707949,-0.04697708864251848
0.017008143371049386,-0.4033709376305784,0.16401094834288474,-0.04392845401314994
0.016803629357934995,-0.38692675987878006,0.16489616887842914,-0.041102942605370556
0.016514498621107012,-0.3703874566674287,0.16590851663573034,-0.03852998207038847
0.016168831132036432,-0.3537419214976178,0.16701473791059826,-0.03622766910148048
0.015795592294705108,-0.33698268174425533,0.16817571714125096,-0.03420296221844394
0.015423454252690066,-0.3201063672176305,0.16934906183656803,-0.03245112938607301
0.015079542542306753,-0.30311387486912883,0.1704923701874365,-0.030954859222768367
0.014788141821773237,-0.28601021395244675,0.171566258937284,-0.029684078611413242
0.01456951745684857,-0.26880407718471344,0.17253678231871322,-0.028597707725117796
0.014439079083907416,-0.25150720718161784,0.1733770966184764,-0.0276476478005181
0.014407033893774028,-0.2341336324802512,0.17406844365983012,-0.02678373904594965
0.014478495804093975,-0.21669882035478885,0.17460095513190432,-0.025957806712080332
0.014653877031020737,-0.19921873982597554,0.1749746485925353,-0.025125764601112002
0.014929378659494985,-0.18170884046912106,0.1751998777008244,-0.024248107723183334
0.015297491969946994,-0.16418307783583871,0.1752956646507834,-0.023289965555279804
0.015747540038803406,-0.14665325292901732,0.17528507361096876,-0.02222179126892906
0.0162663395045564,-0.12912890986814746,0.17518916885708924,-0.021020824189453308
0.016839003282046627,-0.1116177492257618,0.175023561448595,-0.019672376693970605
0.017449783498599252,-0.09412610653126054,0.17480088745947367,-0.018169708929385527
0.018082779963152242,-0.0766589303266611,0.17453752161080255,-0.016512155586418994
0.018722399183479514,-0.0592191367365276,0.174258013167907,-0.014702607076123385
0.01935361751517106,-0.041806867964372274,0.17399212598052102,-0.012746156679934
0.019962245661489526,-0.02441937353311863,0.17376629964026702,-0.010650917634717146
0.020535376368274044,-0.007051734267514745,0.17359675512645342,-0.00843020397384618
0.021062020133447202,0.010302048791204499,0.17348948887417823,-0.006104046478568882
0.021533744518960785,0.027648262758715188,0.1734452985236633,-0.0036985163148538823
0.02194509069946805,0.044993198612133106,0.1734638356933112,-0.0012430505156444368
0.022293667363568734,0.06234306068279443,0.1735433005041992,0.0012326539804238248
0.022579986000682166,0.07970368841477674,0.1736777047330529,0.0037008087900604614
0.02280715228752877,0.09708006955116424,0.1738562297622157,0.006136746960239746
0.022980462568857513,0.11447602902840306,0.1740676038460383,0.008519969358938277
0.023106901471530574,0.1318945704385855,0.17430816546336383,0.010835230025965523
0.02319458206630919,0.1493389926377532,0.1745881245456841,0.013072878234802781
0.023252249886216006,0.1668142748993797,0.17492975056108245,0.015227782352192404
0.02328896309542652,0.18432778275371053,0.17535591764236208,0.017297334247565393
0.023313956474490322,0.20188857512729136,0.17587524958105977,0.01927975185187191
0.02333659701596089,0.2195054768474532,0.1764739755944053,0.02117355738576928
0.023366296356767954,0.23718492446791575,0.17711967606929668,0.022978450865870408
0.02341226357983732,0.2549296404015757,0.17777265827783495,0.02469711411233103
0.023483074565370615,0.27273847633138015,0.17839662937814268,0.026336824364331754
0.02358615470945214,0.29060707953939735,0.1789642832246533,0.027909870609948224
0.023727310528041078,0.308528874704188,0.17945838035800993,0.02943279074151414
0.023910383100274733,0.32649601400415823,0.17987035796700934,0.03092516997838466
0.024137034473335994,0.34450013731365503,0.18019816396993618,0.032408385283463126
0.024406683212342743,0.3625329271777153,0.1804444626799412,0.033904068255652946
0.024716626311826997,0.38058652137093063,0.18061556812767773,0.03543218245808691
0.025062352997541778,0.3986538405090032,0.18072070029724033,0.03700922932949097
0.025437984756737066,0.41672883558544105,0.1807710717265748,0.03864729639060035
0.025836740149170485,0.43480663902448863,0.18077896696020623,0.040354076128796
0.026251365893575414,0.4528836557762065,0.1807576312037098,0.04213322648921727
0.026674544457010205,0.47095770829908,0.18072247245128092,0.04398452055010559
0.02709928175146804,0.48902833721244593,0.1806926913517343,0.04590418865063018
0.027519199596202495,0.5070972000670457,0.18069119051293941,0.047886205971797845
0.027928648079816376,0.5251682908882332,0.1807408453185615,0.04992412354247083
0.028322680134915613,0.5432476027110371,0.1808573641111953,0.05201191428427106
0.028697059058528998,0.5613420416474124,0.18104234981268824,0.05414294999275083
0.029048444342262496,0.5794578851341993,0.18128206415599732,0.0563079663923652
0.02937473201377586,0.5975995147512907,0.1815539920134592,0.058493947794136525
0.029675349243088962,0.615769027143939,0.18183652326192368,0.06068535499839786
0.029951282201037766,0.633966696212972,0.18211548288932072,0.06286721587749171
0.03020479387991637,0.6521918666140176,0.18238666552388874,0.06502797264688936
0.03043899053934953,0.6704439953569754,0.18265656635494765,0.06716042545867407
0.030657430123599345,0.6887236497089089,0.1829401641032018,0.06926093101009957
0.03086385785299354,0.7070330263680628,0.18325335123772782,0.07132807756941102
0.03106204632853596,0.7253755407670865,0.18360302664875922,0.07336180628737589
0.031255675177897936,0.7437546048763001,0.18398202631546604,0.07536323907974987
0.03144820299184538,0.7621723184863421,0.18437248638916806,0.07733482244972652
0.03164275055874371,0.7806288177899143,0.18475468504317202,0.07927998342990968
0.031842080524324995,0.7991225379983506,0.185115471388374,0.08120183144486989
0.03204872566166902,0.8176510958844653,0.18545169628402286,0.08310173751389165
0.03226516401429652,0.8362122043535248,0.18576755542165996,0.08497950640562349
0.03249382482340533,0.8548041162243228,0.18606854706726528,0.08683576121577972
0.03273679558208409,0.8734254833721417,0.18635660553972222,0.08867500240145818
0.03299533511666247,0.892074922527843,0.18662931879714229,0.09050682669591198
0.033269487800514454,0.9107506912094588,0.18688250272994933,0.09234385977165156
0.033558080129904404,0.9294506695721232,0.1871132039879263,0.09419734637825464
0.03385914061970534,0.9481725588641325,0.1873207785398407,0.09607334711437572
0.03417048357628072,0.9669140661770503,0.18750562466492043,0.09797226703841656
0.03449009339311383,0.9856728987876797,0.18766699789064972,0.09989176937051263
0.034816142717911544,1.0044466034119175,0.18780261428200676,0.10183038770559082
0.03514677534307037,1.0232325585553408,0.1879123886247236,0.10378918839649229
0.0354798941494574,1.0420285196974082,0.18800516416941626,0.10577117898542412
0.03581310201241181,1.0608336120664088,0.1880982977450347,0.10777937794335926
0.036143885382564904,1.0796479207023995,0.18818428249589686,0.10981312486614228
0.03647021841688062,1.0984656014160505,0.18812831375231936,0.11186088813282459
