Ahrs1_Roll,Ahrs1_bRollRate,Ahrs1_bYawRate
-0.02020424098939822,0.00824649572840425,-0.004558798600948479
-0.01947284209617599,0.007605748939865291,-0.0050890663049888265
-0.01883464484495779,0.006643973429123297,-0.005487590309064832
-0.018316783922697404,0.005409128971075925,-0.005742487770418106
-0.017938729043434513,0.004011362357049501,-0.005896485677411308
-0.01770513717001095,0.0026407508846749686,-0.006123853844150945
-0.01759933563214373,0.0015538122834967089,-0.006821747278776636
-0.017581814569197638,0.001012553722193636,-0.008648316804806093
-0.017597924523477405,0.0011748355493270276,-0.012430279098508674
-0.01759641480220035,0.0019669352263001513,-0.018925066054235242
-0.01755553349067564,0.00300319009780962,-0.028532091599529033
-0.017508781613604682,0.003612395090874804,-0.04110828647504259
-0.017561509841683347,0.0029725458084830635,-0.055981895413197924
-0.017893078575070713,0.0002890404890678908,-0.07212495978153322
-0.018745174733845755,-0.005068942557616782,-0.08835307351544984
-0.020402038151597055,-0.01352009081684568,-0.10342542655391555
-0.02316969756735171,-0.025287464867194985,-0.1160078905425597
-0.027357234895707135,-0.04040770578222143,-0.1245879473003094
-0.033256104329084255,-0.058671509346705286,-0.12750102991042056
-0.041109909286503765,-0.07950112381771421,-0.12316703243657075
-0.0510721386900876,-0.10184571233891614,-0.11047518330342458
-0.0631612894088162,-0.1241937760171484,-0.08912596654283865
-0.07723098068102982,-0.14473929617274195,-0.05975113378272018
-0.09296769972476256,-0.1616464516145725,-0.023775967994445753
-0.10991246342209474,-0.17330595641926194,0.01685986271386135
-0.12749079480767084,-0.17849437105018284,0.059961447876717616
-0.1450405767808213,-0.1764204594019458,0.10323592742136506
-0.16183949824282742,-0.16670722485289374,0.14438487832407693
-0.1771374239908683,-0.14936405132627373,0.1812089802589553
-0.1901939635117709,-0.12476289837826239,0.21173560794823304
-0.20031786232644505,-0.0935985473705747,0.23430316836974024
-0.20690405166531764,-0.056826575644996574,0.24754015514271777
-0.2094657893394816,-0.01561666401981797,0.25027090355471376
-0.2076638426635325,0.028627156000977285,0.24148477900781185
-0.20133640082694124,0.07417742814796274,0.2205014327455618
-0.19053023422759627,0.11890481210661505,0.18732290582157776
-0.17552740078937357,0.16032176859063332,0.14298846063207554
-0.15685547423067808,0.19580424655130363,0.08969044193514533
-0.1352684680719784,0.22294324460246212,0.03053909398306894
-0.11169515940366492,0.23989585324512916,-0.030909362001509476
-0.08716732190822772,0.24560564357004339,-0.09111433917770131
-0.06274808562472203,0.23984487346987649,-0.14682887931160565
-0.03947342454145612,0.2231270986122472,-0.19521042908091096
-0.018308565606937256,0.19657171478938573,-0.23389699909555436
-0.00011327134419567482,0.16176623189845651,-0.2611512824361317
0.01438996012802168,0.12062294916285841,-0.27604721162559936
0.02464404911214656,0.07521550507412264,-0.27855742852969806
0.030278206647299882,0.027619973687278355,-0.26942495234659825
0.031119910146671547,-0.02017437682294358,-0.24987320138381838
0.027200159740871137,-0.06625485305632814,-0.22135291873236557
0.0187549870207887,-0.1087405037553032,-0.18547118792329964
0.0062206914012059985,-0.14581544068155058,-0.14404731526455455
-0.009785424220387497,-0.1758876435480863,-0.09911209593146136
-0.028504828958310937,-0.19779680717288867,-0.05275241884071636
-0.04909293405574411,-0.21094259239928065,-0.006905307518025673
-0.07067534234525413,-0.2152741871289502,0.03673357626251132
-0.09239402851292325,-0.21118501395798503,0.07667173028309729
-0.11344081567552974,-0.19938975213188878,0.11156595405376092
-0.13308131062646547,-0.1808240319407764,0.14023516685294435
-0.1506725637404881,-0.15656717574577886,0.16172283162362716
-0.16567390185654965,-0.12778132598864564,0.17534537476441803
-0.17765260035613628,-0.09567353065647279,0.1806991852747549
-0.18629144574079462,-0.06149478377691554,0.17765941420079331
-0.19140351318370694,-0.02657504689254013,0.16642248792460493
-0.1929512006383748,0.007638873063684042,0.1476034546914915
-0.1910608881757989,0.03959865920534039,0.12233012539064828
-0.1860251822216504,0.06775904328064611,0.092242894116878
-0.17828861335054655,0.0907554543802814,0.05934613540643452
-0.16841732094528425,0.10759856255691083,0.025728247047424418
-0.15705637980302348,0.11781195580841167,-0.006765340699387692
-0.1448804306607659,0.1214469992726347,-0.03676936460033947
-0.1325467782819281,0.11896117882744783,-0.06341311731109242
-0.12066109424271312,0.11102773422195292,-0.08610578076325634
-0.1097589885921958,0.09838697591737365,-0.10426575177048855
-0.10029751553544057,0.08181142801841883,-0.11721138436022743
-0.09264744600005315,0.06217153175856666,-0.12430110909738033
-0.08708058368086757,0.04052000867731713,-0.1252301467035675
-0.08375262499396498,0.018100856962202847,-0.12028085153226875
-0.08268916582350172,-0.0037593886185037523,-0.11034834864070422
-0.08378519646357792,-0.0238396646290433,-0.09671523785217978
-0.08682320021069366,-0.04119990612466487,-0.08071587301723307
-0.09150581936608536,-0.05525978011614519,-0.06348101128271014
-0.09749126175380865,-0.06575540154711326,-0.0458734394071578
-0.10441812194310693,-0.07261804515561929,-0.028596573844340188
-0.11191459253862815,-0.07585914123508979,-0.012355575597114655
-0.11960022146181075,-0.07553340613330205,0.002077054488187071
-0.12709464150760477,-0.0717908042508222,0.013963357953955133
-0.13404055261689088,-0.06496338781145788,0.022799566735818146
-0.14013476941941555,-0.05561452662844113,0.028453266212239047
-0.1451546763690112,-0.044509508498826275,0.03113501234617928
-0.1489706478386382,-0.032508838255501965,0.031248305315241105
-0.15154177904724306,-0.02041913584760062,0.029239958510134542
-0.15289823685342055,-0.008862890449823878,0.025529073286569167
-0.15311757410750262,0.0017743332371820332,0.020508374967065472
-0.15230387639906454,0.011304607297257338,0.014568068484700436
-0.15057592891341298,0.01964311819882473,0.008101548078225105
-0.1480647910689312,0.02671844480533774,0.001483249933880718
-0.14491566872999953,0.03243427246212834,-0.004965565624247763
-0.1412869156627362,0.036690859006185184,-0.010998328608443202
-0.1373422787019369,0.03943573538746876,-0.016437747101019112
-0.13323897731666245,0.04070178782424456,-0.021151123650810087
-0.12911746883199512,0.04061226934470328,-0.025027893864933506
-0.1250961814013568,0.03936078393367179,-0.027976126516607847
-0.12127032018429776,0.03718387114912865,-0.029938414173819705
-0.1177124052040951,0.03433533571972452,-0.030911797522938697
-0.11447308798553626,0.031062955367138878,-0.030953590698507633
-0.11158209948667043,0.0275885299845498,-0.03016746022906909
-0.10904992837108572,0.02409558304682389,-0.028679000685285075
-0.10687045369583846,0.020728090519293647,-0.02661466954126114
-0.10502406578046061,0.017598555356671267,-0.024092149646026722
-0.10348023990280106,0.014799165566973332,-0.021222643128782564
-0.10219860762790477,0.012409414103587231,-0.018120460819092563
-0.10112903645604256,0.010497678028876013,-0.014911124062827555
-0.10021257675752682,0.00911874859567437,-0.011729976326300457
-0.09938451006787533,0.008309745106954087,-0.008711145442932085
-0.09857884890340034,0.008084606437675702,-0.005973595482253463
-0.09773281278830948,0.008427343895073457,-0.003610619208133187
-0.09679064963937548,0.00928688579745974,-0.001684757825986744
-0.09570709193807678,0.010578216477430053,-0.00022746875593491407
-0.09445019693859318,0.01219270251627197,0.0007574990346210153
-0.09300218459455901,0.014014608596558462,0.001287986381892054
-0.09135730070665653,0.01593670081807057,0.0013964194210773927
-0.08951796500868563,0.017868904358818362,0.0011245036782193886
-0.08749208049517618,0.01973752273397631,0.0005204882538283019
-0.08529302323183295,0.0214783202267889,-0.00036231940704669333
-0.0829408765807447,0.023031355376800972,-0.001466606025129721
-0.08046254077173992,0.024341151333199543,-0.002731702918323422
-0.07789045495793112,0.025354074878672278,-0.00409514749438048
-0.07526201271736585,0.026001087339433845,-0.005496150605903403
-0.07262180060517824,0.0261701633262418,-0.006878773829780147
-0.07002659428432187,0.025697800423032754,-0.008191633506600932
-0.06754921714290885,0.02441389709903368,-0.009383936890049849
-0.06527482402912457,0.022238452978406396,-0.010400787249599608
-0.06328635264319768,0.019271397711936956,-0.011182280653912881
-0.061644407723954985,0.015799124299655784,-0.011671102382993452
-0.06037274243089321,0.01220173452052488,-0.011828302335399379
-0.059456868231868056,0.008826257881336771,-0.011648003717541652
-0.05885413881491307,0.005903017460156571,-0.011159883918486747
-0.058507965208511564,0.003528369829811765,-0.010417630927245333
-0.05836000384541621,0.0016891352547526613,-0.009482489129969343
-0.05835821850286812,0.0003013357979555364,-0.00841214631076817
-0.058460738786959385,-0.000744844845487046,-0.007258154200156448
-0.058635602138149515,-0.0015385809421366926,-0.0060693024684804146
-0.058857266915958995,-0.002117739291932464,-0.004896663295927655
-0.05910221524200773,-0.00247109642377734,-0.0037965055562483347
-0.0593462681689969,-0.0025689742454863026,-0.0028284488826367964
-0.05956491146416911,-0.0023992318858095073,-0.002047699445156054
-0.059735934520836954,-0.001986340180065232,-0.0014930605637090337
-0.059842324661617916,-0.0013849921037905998,-0.0011765438379785064
-0.05987337460540507,-0.0006562275778845853,-0.001082147547664056
-0.05982340426283433,0.0001546233593079597,-0.0011764931297533927
-0.05968946367773126,0.001021893441488945,-0.0014250306491090327
-0.05947014896553058,0.0019248221780883631,-0.0018035545553671609
-0.05916657905764992,0.0028273328664666147,-0.0022996363887483992
-0.05878473798160551,0.0036696050140471764,-0.0029059589989128966
-0.05833718141446624,0.0043816273081911114,-0.003611093552215381
