V_{TAS} - V_0,\alpha,\theta,q
0.0,0.0,0.0,0.0690613187125951
0.0008913564794554359,0.00723153466522375,0.007489544358674457,0.08002427412211884
0.000774891841030758,0.014414754899128246,0.0158733243182374,0.08704370380078123
-0.0011970366013548481,0.021223211846200934,0.024787024356214597,0.090726201860997
-0.005818215657961569,0.027425272583927553,0.033927802015404025,0.09168563277881134
-0.013804133203464516,0.03287157240757808,0.04305296060113785,0.0905083223003152
-0.025775638010934642,0.037482302965524524,0.051976519871008084,0.08774092393851897
-0.04225074516948879,0.041235062373359756,0.060564810988393745,0.08388134495978118
-0.06364353835014092,0.04415312106051463,0.06873108799241737,0.07936833829593726
-0.09026857520445922,0.04629407180961269,0.07642912265867613,0.07457218729867457
-0.12234915350015911,0.04773912777926679,0.08364605110730174,0.06978943311886968
-0.1600279667896633,0.048583483431023505,0.09039496230127077,0.06524309735614063
-0.20337890937201192,0.048928150691984855,0.09670779208880781,0.061088494201248913
-0.25241909551296443,0.048873556992357355,0.10262902981669837,0.05742331498848682
-0.3071205254314736,0.048514937625299515,0.10821053660614782,0.05429921645393934
-0.36742109510683085,0.04793926964324238,0.11350747553204568,0.05173208773024228
-0.4332347142288605,0.04722335863114297,0.11857514612562223,0.04970986847680751
-0.5044602802769278,0.0464327511262513,0.12346650027865332,0.048198572047055216
-0.5809892943482706,0.045621288365701944,0.12823022009351445,0.047147674582482015
-0.6627120146754104,0.044831215243693656,0.1329093316038949,0.046495474075232336
-0.7495221686023892,0.04409377616342244,0.13754035069386356,0.04617431060689115
-0.8413203337421351,0.04343020272454431,0.14215292683560024,0.0461152277297528
-0.9380161446202638,0.04285297278165106,0.14676991014397445,0.046251739804046454
-1.0395294970646718,0.042367217322382474,0.15140774508408175,0.046522598985620715
-1.1457909250463107,0.04197216798758264,0.15607709334374237,0.04687363350214059
-1.2567413215797911,0.041662562434914625,0.1607836000503302,0.04725880237692742
-1.3723311683263228,0.04142994808212764,0.1655287324091277,0.04764061109623267
-1.492519427294013,0.04126384322203435,0.17031063288875178,0.047990003254426705
-1.6172722314299346,0.04115272848751742,0.17512493938090917,0.04828582380713336
-1.7465614868431512,0.04108485503926895,0.17996553518425512,0.048513977801462244
-1.8803634666884295,0.041048874788944034,0.1848252082843368,0.04866650470411294
