V_{TAS},\alpha,\theta,q
0.0,0.0,0.0,0.0
4.1185987078868444e-07,3.2589223154748426e-05,5.275852783261412e-05,1.0672695374421348e-05
2.8861683602320834e-07,0.00010294033198971755,0.00019952269435312756,1.9522631098874505e-05
-8.905710211652315e-07,0.00019859536256303708,0.00042246237285712015,2.6509715975901054e-05
-3.5879435333629378e-06,0.00030865932067414574,0.0007038916226425644,3.1697569301354395e-05
-8.19665164685812e-06,0.000423961896671155,0.0010270783072291855,3.5214219297977156e-05
-1.5035414120872081e-05,0.0005370531721689733,0.001376710742705767,3.7224106511916686e-05
-2.434556691371321e-05,0.0006421912045885477,0.0017392703629005497,3.794299905324377e-05
-3.628927422983554e-05,0.0007356220657485154,0.0021039028126135654,3.7732404662633105e-05
-5.0952543064239766e-05,0.00081651772377012,0.0024646419665083305,3.728450409214388e-05
-6.836433359635234e-05,0.000888768546300635,0.0028246727935188573,3.7846080503110495e-05
-8.854935898059176e-05,0.0009633650110713102,0.003202475989694136,4.1360818927308755e-05
-0.00011163123077078515,0.001060500963466227,0.0036383571187636847,5.038295824622196e-05
-0.00013799121770846536,0.0012100693042453893,0.004198573112598932,6.76509135209433e-05
-0.0001684665375527265,0.0014491572164742166,0.004973622599853009,9.530954445691164e-05
-0.00020454347332292822,0.0018158052536869447,0.0060680111409352425,0.00013396790697896863
-0.0002484757204289674,0.0023399634645027683,0.0075818307271614685,0.0001820335490225962
-0.0003032613192460681,0.003034725646270822,0.009589327757099031,0.00023582636958388597
-0.00037245951263419085,0.00389187314254871,0.012123119830862948,0.0002906145960603683
-0.00045990200911588875,0.004884143700052741,0.015171228560302065,0.0003421185405786126
-0.0005694015372964197,0.005973207627689792,0.018687733329603478,0.00038770392619885165
-0.0007045506387317346,0.007119489045548585,0.022610977670671793,0.00042670440785437427
-0.000868646164321822,0.008289553379917906,0.0268804180381862,0.0004598658752679681
-0.0010647099239655315,0.009458777331242124,0.031445670940068324,0.000488388034450092
-0.0012955422484875001,0.010609861531503444,0.036266793162646534,0.0005131477046499145
-0.001563755820125815,0.011729502376948423,0.041309324966996915,0.0005344000424676643
-0.001871771361441369,0.012805378479264917,0.04653852329370503,0.0005518671419348916
-0.0022217825910986404,0.013824393042802243,0.051915342216162876,0.0005649748975854649
-0.002615704099067259,0.014772204408834338,0.057394782559758745,0.000573099589328752
-0.00305511404555442,0.01563384827736242,0.06292654153727831,0.0005758001572005551
-0.0035412041277037786,0.01639523104905142,0.06845777964592024,0.0005730200383585033
-0.004074750150152102,0.01704514394365813,0.07393752473340985,0.0005652182394838246
-0.004656113392094483,0.017577350503287566,0.07932189729810299,0.0005534094484548045
-0.005285277485175374,0.017992373398877905,0.08457933132481339,0.0005391270149252635
-0.005961922178151747,0.018298680130016627,0.08969506837820587,0.0005243032841291084
-0.006685533222763008,0.01851280416493367,0.09467387154237653,0.0005110040935931776
-0.00745553927107198,0.018657712378955763,0.09953926381041837,0.0005009713132767188
-0.008271448866991143,0.018759043296654957,0.10432782196571579,0.0004950912922546192
-0.009132945515599934,0.01883998906877097,0.10907915883842681,0.000493091301940703
-0.010039907240152983,0.01891681279427801,0.11382518160572169,0.0004937162777201779
-0.010992352186114916,0.018996967720776754,0.11858322840453518,0.0004953116103618779
-0.011990347381491363,0.019080273533091177,0.12335536740842128,0.000496447420660695
-0.013033925324879824,0.019161916809860822,0.128132491221054,0.0004962543365096803
-0.01412303303517469,0.019235510840968126,0.13289989326804,0.0004944114614715232
-0.015257512854240608,0.019295120101012985,0.137641656534922,0.0004909494052703987
-0.016437101584889476,0.019336157205595304,0.14234305896159927,0.00048606160577732834
-0.017661436457009846,0.01935562710739325,0.14699160638058867,0.0004800104469119338
-0.0189300645185153,0.01935214107540904,0.15157751830919083,0.00047309361823979926
-0.02024245673882169,0.019325755463428563,0.15609386495277772,0.0004655932771137455
-0.021598025147064954,0.019277491351305284,0.16053602362540628,0.00045769146609012546
-0.02299613538937244,0.01920862836715516,0.16490044124483288,0.00044943010987532966
-0.02443610806609344,0.01912026180562993,0.16918357840593537,0.0004407961905651728
-0.025917212657120763,0.01901359414620902,0.1733821959379602,0.00043189723569408956
-0.027438667673541674,0.01889088568473037,0.1774952394842388,0.0004230915156973955
-0.02899965961260601,0.018756419268995052,0.1815262695744135,0.0004149597145710883
-0.030599382701405404,0.01861669263937859,0.18548474682267244,0.000408100570449343
-0.0322370891051124,0.01847930553128907,0.18938471286022746,0.00040280730587556645
-0.0339121294386472,0.018350466857394433,0.19324019181619345,0.00039873131432928004
-0.035623957811893585,0.018231687215439194,0.19705792225601998,0.0003946955413249022
-0.03737207946226475,0.01811695652654692,0.20082974813517024,0.00038883850086230705
-0.03915593838936776,0.017992080480921935,0.20452833880218135,0.0003791575942523952
-0.0409747741165587,0.017837240751143537,0.20810943591035055,0.00036426695564870755
-0.04282750152317626,0.017632213186557836,0.21152088366730304,0.0003439740778680373
-0.0447126627427554,0.017362096671386867,0.2147149531303372,0.00031935634549154024
-0.04662846561374311,0.017021205091390632,0.2176589086970964,0.0002923547443201824
-0.04857288632076953,0.0166140202995371,0.2203404407954324,0.00026517241723843417
